name,phe,keyword
Reis Mehl,390,flour
Reis Stärke,42,organic-food
Reis Kleie,678,organic-food
Getreidemischung Schrot,539,organic-food
Getreideerzeugnisse roh,549,organic-food
Getreideerzeugnisse Frühstückscerealien,549,cereal
Grits,437,organic-food
Müsli,549,cereal
Früchte-Müsli,517,organic-food
Schoko-Müsli,512,organic-food
Cornflakes,430,cereal
Schoko-Reiscrispies,290,organic-food
Nuss-Reiscrispies,260,organic-food
Getreideflocken,712,cereal
Joghurt-Müsli,564,organic-food
Joghurt-Schoko-Müsli,527,organic-food
Joghurt-Früchte-Müsli,532,organic-food
Polenta roh,113,organic-food
Puffweizen,660,bayerische-brezel
Puffreis,382,organic-food
Schoko-Puffreis,406,organic-food
Popcorn,631,organic-food
Apfel-Zimt-Ringe,287,zimtschnecke
Schoko-Cornpops,295,organic-food
Kokos-Cornpops,235,organic-food
Cornpops,237,cereal
Weizenpops,363,organic-food
Nuss-Weizenpops,383,organic-food
Weizentaschen,441,organic-food
Honig-Müsli,524,honig
Schoko-Honig-Müsli,488,organic-food
Karamell-Honig-Müsli,425,honig
Früchte-Honig-Müsli,493,organic-food
Tortillachips (Nachos),310,nachos
Hirse-Müsli glutenfrei,429,organic-food
Malzprodukte,212,organic-food
Biomalz,212,bayerische-brezel
Kleber (Gluten),4050,organic-food
Mehrkornflocken,473,cereal
Weizengluten Trockenprodukt,4050,organic-food
Weizenglutenmischung Trockenprodukt,3612,organic-food
Glutenfleisch (milchnass),631,organic-food
Glutenfleisch (braun),1079,beef
Reisnudeln,0,nudeln
Mehlmischungen,430,flour
Getreidepastete,244,organic-food
Flädle Trockenprodukt,600,plastic-food-container
Grießklößchen Trockenprodukt,600,organic-food
Grütze Konserve,479,kirsche
Pikanter Reistopf energiereduziert,109,essen-und-wein
Gemüse-Reistopf energiereduziert,84,vegetarian-food-symbol
Feinbackwaren Torten Kuchen,140,kuchen
Backerbsen,337,organic-food
Salzgebäck,469,bayerische-brezel
Kümmelstange,452,bayerische-brezel
Zwieback,484,bayerische-brezel
Nährzwieback,535,bayerische-brezel
Eierzwieback,592,organic-food
Schokozwieback,455,organic-food
Kokoszwieback,378,organic-food
Butterzwieback,529,organic-food
Zwieback eifrei,520,organic-food
Zwieback glutenfrei,392,organic-food
Erdnussflips,532,organic-food
Cracker,528,brezel
Käse-Cracker,723,organic-food
Pizza-Cracker,557,pizza
Knabbergebäck,469,organic-food
Salzstangen,469,salt
Teigarten roh,357,bayerische-brezel
